#MJD,flux_lag_1,flux_lag_2,flux_lag_3,flux_rolling_mean_3,flux_rolling_std_3,index_lag_1,index_lag_2,index_lag_3,index_rolling_mean_3,index_rolling_std_3
58228.4999537037,8.27e-08,9.04e-08,5.25e-08,0.0,0.0,3.1,5.0,2.03,3.67,1.15
58235.4999537037,6.68e-08,8.27e-08,9.04e-08,0.0,0.0,2.92,3.1,5.0,2.91,0.2
58438.4999537037,6.06e-08,6.68e-08,8.27e-08,0.0,0.0,2.7,2.92,3.1,3.07,0.47
58445.4999537037,2.37e-07,6.06e-08,6.68e-08,0.0,0.0,3.6,2.7,2.92,2.77,0.79
58473.4999537037,1.65e-07,2.37e-07,6.06e-08,0.0,0.0,2.02,3.6,2.7,3.54,1.49
58487.4999537037,1.01e-07,1.65e-07,2.37e-07,0.0,0.0,5.0,2.02,3.6,4.01,1.72
58515.4999537037,1.32e-07,1.01e-07,1.65e-07,0.0,0.0,5.0,5.0,2.02,4.2,1.39
58613.4999537037,6.36e-08,1.32e-07,1.01e-07,0.0,0.0,2.59,5.0,5.0,3.54,1.28
58627.4999537037,1.12e-07,6.36e-08,1.32e-07,0.0,0.0,3.04,2.59,5.0,3.54,1.28
58767.4999537037,1.52e-07,1.12e-07,6.36e-08,0.0,0.0,5.0,3.04,2.59,3.61,1.21
58774.4999537037,7.96e-08,1.52e-07,1.12e-07,0.0,0.0,2.79,5.0,3.04,4.26,1.28
58788.4999537037,1.91e-07,7.96e-08,1.52e-07,0.0,0.0,5.0,2.79,5.0,3.48,1.32
58879.4999537037,1.15e-07,1.91e-07,7.96e-08,0.0,0.0,2.65,5.0,2.79,3.35,1.44
58886.4999537037,6.64e-08,1.15e-07,1.91e-07,0.0,0.0,2.39,2.65,5.0,2.46,0.16
58893.4999537037,1.11e-07,6.64e-08,1.15e-07,0.0,0.0,2.35,2.39,2.65,2.46,0.15
58900.4999537037,1.25e-07,1.11e-07,6.64e-08,0.0,0.0,2.63,2.35,2.39,2.4,0.21
58914.4999537037,9.46e-08,1.25e-07,1.11e-07,0.0,0.0,2.22,2.63,2.35,2.46,0.21
58921.4999537037,7.26e-08,9.46e-08,1.25e-07,0.0,0.0,2.52,2.22,2.63,2.29,0.2
59019.4999537037,6.83e-08,7.26e-08,9.46e-08,0.0,0.0,2.14,2.52,2.22,2.74,0.74
59082.4999537037,9.33e-08,6.83e-08,7.26e-08,0.0,0.0,3.57,2.14,2.52,2.68,0.78
59089.4999537037,7.71e-08,9.33e-08,6.83e-08,0.0,0.0,2.32,3.57,2.14,2.75,0.71
59096.4999537037,8.19e-08,7.71e-08,9.33e-08,0.0,0.0,2.37,2.32,3.57,2.31,0.07
59117.4999537037,6.52e-08,8.19e-08,7.71e-08,0.0,0.0,2.23,2.37,2.32,2.47,0.3
